,Player,Year,Position,Age,Height,Weight,Y1 GP,Y2 GP,Y3 GP,Y4 GP,Y5 GP,Y1 PP ATOI,Y2 PP ATOI,Y3 PP ATOI,Y4 PP ATOI,Y5 PP ATOI,Y5 dPP ATOI
Eric Staal 2009,Eric Staal,2009,C,23.924,76,195,,,,82,82,,,,4.6524,4.2295,-0.4229000000000003
Eric Staal 2010,Eric Staal,2010,C,24.923,76,195,,,82.0,82,70,,,4.6524,4.2295,4.2055,-0.23545000000000016
Eric Staal 2011,Eric Staal,2011,C,25.923,76,195,,82.0,82.0,70,81,,4.6524,4.2295,4.2055,4.4288,0.06633333333333358
Eric Staal 2012,Eric Staal,2012,C,26.922,76,195,82.0,82.0,70.0,81,82,4.6524,4.2295,4.2055,4.4288,3.6451,-0.7339499999999997
Eric Staal 2013,Eric Staal,2013,C,27.924,76,195,82.0,70.0,81.0,82,82,4.2295,4.2055,4.4288,3.6451,3.5587,-0.5685250000000002
Eric Staal 2014,Eric Staal,2014,C,28.923,76,195,70.0,81.0,82.0,82,79,4.2055,4.4288,3.6451,3.5587,3.3749,-0.584625
Eric Staal 2015,Eric Staal,2015,C,29.923,76,195,81.0,82.0,82.0,79,77,4.4288,3.6451,3.5587,3.3749,2.6058,-1.1460750000000002
Eric Staal 2016,Eric Staal,2016,C,30.922,76,195,82.0,82.0,79.0,77,83,3.6451,3.5587,3.3749,2.6058,2.6046,-0.691525
Eric Staal 2017,Eric Staal,2017,C,31.924,76,195,82.0,79.0,77.0,83,82,3.5587,3.3749,2.6058,2.6046,2.3738,-0.6621999999999999
Eric Staal 2018,Eric Staal,2018,C,32.924,76,195,79.0,77.0,83.0,82,82,3.3749,2.6058,2.6046,2.3738,2.187,-0.552775
Eric Staal 2019,Eric Staal,2019,C,33.923,76,195,77.0,83.0,82.0,82,81,2.6058,2.6046,2.3738,2.187,2.8068,0.3639999999999999
Eric Staal 2020,Eric Staal,2020,C,34.922,76,195,83.0,82.0,82.0,81,77,2.6046,2.3738,2.187,2.8068,2.6952,0.2021499999999996
Eric Staal 2021,Eric Staal,2021,C,35.924,76,195,82.0,82.0,81.0,77,77,2.3738,2.187,2.8068,2.6952,1.3509,-1.1647999999999998
Jeff Carter 2009,Jeff Carter,2009,C,23.749,75,219,,,,82,82,,,,2.4602,2.7518,0.29159999999999986
Jeff Carter 2010,Jeff Carter,2010,C,24.748,75,219,,,82.0,82,74,,,2.4602,2.7518,3.0982,0.49219999999999997
Jeff Carter 2011,Jeff Carter,2011,C,25.747,75,219,,82.0,82.0,74,80,,2.4602,2.7518,3.0982,2.9198,0.14973333333333327
Jeff Carter 2012,Jeff Carter,2012,C,26.747,75,219,82.0,82.0,74.0,80,55,2.4602,2.7518,3.0982,2.9198,3.1058,0.2982999999999998
Jeff Carter 2013,Jeff Carter,2013,C,27.749,75,219,82.0,74.0,80.0,55,82,2.7518,3.0982,2.9198,3.1058,2.6767,-0.2921999999999998
Jeff Carter 2014,Jeff Carter,2014,C,28.748,75,219,74.0,80.0,55.0,82,72,3.0982,2.9198,3.1058,2.6767,3.285,0.33487500000000026
Jeff Carter 2015,Jeff Carter,2015,C,29.748,75,219,80.0,55.0,82.0,72,82,2.9198,3.1058,2.6767,3.285,2.7809,-0.21592499999999992
Jeff Carter 2016,Jeff Carter,2016,C,30.747,75,219,55.0,82.0,72.0,82,77,3.1058,2.6767,3.285,2.7809,2.2786,-0.6835
Jeff Carter 2017,Jeff Carter,2017,C,31.749,75,219,82.0,72.0,82.0,77,82,2.6767,3.285,2.7809,2.2786,2.8815,0.12619999999999987
Jeff Carter 2019,Jeff Carter,2019,C,33.748,75,219,82.0,77.0,82.0,27,76,2.7809,2.2786,2.8815,3.1673,2.4695,-0.30757499999999993
Jeff Carter 2020,Jeff Carter,2020,C,34.747,75,219,77.0,82.0,27.0,76,70,2.2786,2.8815,3.1673,2.4695,1.8531,-0.8461250000000002
Jeff Carter 2021,Jeff Carter,2021,C,35.749,75,219,82.0,27.0,76.0,70,79,2.8815,3.1673,2.4695,1.8531,2.0185,-0.5743499999999999
Jeff Carter 2022,Jeff Carter,2022,C,36.748,75,219,27.0,76.0,70.0,79,76,3.1673,2.4695,1.8531,2.0185,2.057,-0.32010000000000005
Jeff Carter 2023,Jeff Carter,2023,C,37.748,75,219,76.0,70.0,79.0,76,79,2.4695,1.8531,2.0185,2.057,1.5591,-0.5404249999999999
Zach Parise 2009,Zach Parise,2009,L,24.179,71,195,,,,81,82,,,,3.6523,3.6726,0.020300000000000207
Zach Parise 2010,Zach Parise,2010,L,25.178,71,195,,,81.0,82,81,,,3.6523,3.6726,3.1259,-0.5365499999999996
Zach Parise 2013,Zach Parise,2013,L,28.179,71,195,82.0,81.0,13.0,82,82,3.6726,3.1259,3.4782,3.4506,3.4247,-0.007124999999999826
Zach Parise 2014,Zach Parise,2014,L,29.178,71,195,81.0,13.0,82.0,82,67,3.1259,3.4782,3.4506,3.4247,3.3373,-0.03255000000000008
Zach Parise 2015,Zach Parise,2015,L,30.177,71,195,13.0,82.0,82.0,67,74,3.4782,3.4506,3.4247,3.3373,3.2966,-0.12609999999999966
Zach Parise 2016,Zach Parise,2016,L,31.177,71,195,82.0,82.0,67.0,74,70,3.4506,3.4247,3.3373,3.2966,3.4098,0.032500000000000195
Zach Parise 2017,Zach Parise,2017,L,32.179,71,195,82.0,67.0,74.0,70,69,3.4247,3.3373,3.2966,3.4098,2.2833,-1.0838
Zach Parise 2018,Zach Parise,2018,L,33.178,71,195,67.0,74.0,70.0,69,42,3.3373,3.2966,3.4098,2.2833,2.4139,-0.66785
Zach Parise 2019,Zach Parise,2019,L,34.178,71,195,74.0,70.0,69.0,42,74,3.2966,3.4098,2.2833,2.4139,2.9016,0.05069999999999997
